City,Geohash,Latitude,Longitude,Longitude_SW,Latitude_SW,Longitude_NE,Latitude_NE,SeverityScore,IncidentsTotal
Toronto,dpz884y,43.69698,-79.44453,-79.44489,43.69675,-79.44351,43.69812,0.1529,31
Toronto,dpz2rtp,43.66559,-79.4646,-79.46548,43.66516,-79.46411,43.66653,0.039,31
Toronto,dpz2n7u,43.61526,-79.52404,-79.52454,43.61435,-79.52316,43.61572,0.0278,31
Toronto,dpz90cg,43.77978,-79.41546,-79.41605,43.77914,-79.41467,43.78052,0.0527,30
Toronto,dpz2xvd,43.71278,-79.46098,-79.46136,43.71185,-79.45999,43.71323,0.1151,30
Toronto,dpz2x5t,43.70203,-79.48939,-79.4902,43.70087,-79.48883,43.70224,0.1331,30
Toronto,dpz8u3w,43.73449,-79.25793,-79.25812,43.73383,-79.25674,43.7352,0.1092,30
Toronto,dpz8bdp,43.73758,-79.42054,-79.42154,43.73657,-79.42017,43.73795,0.0501,30
Toronto,dpz8bzm,43.766,-79.41213,-79.4133,43.76541,-79.41193,43.76678,0.0948,30
Toronto,dpz2u3e,43.73445,-79.61286,-79.6138,43.73383,-79.61243,43.7352,0.0882,30
Toronto,dpz2rj7,43.66723,-79.49172,-79.49295,43.66653,-79.49158,43.66791,0.0586,30
Toronto,dpz2vs0,43.74787,-79.56217,-79.56299,43.74756,-79.56161,43.74893,0.0628,29
Toronto,dpz8crk,43.76569,-79.39188,-79.3927,43.76541,-79.39133,43.76678,0.0997,29
Toronto,dpz9k51,43.83105,-79.27517,-79.27597,43.82996,-79.2746,43.83133,0.0412,29
Toronto,dpz2u38,43.73496,-79.6176,-79.61792,43.73383,-79.61655,43.7352,0.0356,29
Toronto,dpz95fz,43.7854,-79.27849,-79.27872,43.78464,-79.27734,43.78601,0.051,29
Toronto,dpz89vw,43.71309,-79.36718,-79.36798,43.71185,-79.36661,43.71323,0.1157,29
Toronto,dpz2xtn,43.70947,-79.46607,-79.46686,43.70911,-79.46548,43.71048,0.1374,29
Toronto,dpz8u81,43.72619,-79.25329,-79.254,43.72559,-79.25262,43.72696,0.1201,29
Toronto,dpz8954,43.69864,-79.40603,-79.40643,43.69812,-79.40506,43.69949,0.0439,28
Toronto,dpz9h6z,43.78531,-79.25634,-79.25674,43.78464,-79.25537,43.78601,0.0368,28
Toronto,dpz8shj,43.70435,-79.26973,-79.27048,43.70361,-79.2691,43.70499,0.1217,28
Toronto,dpz90gc,43.79083,-79.41822,-79.41879,43.79013,-79.41742,43.7915,0.0649,28
Toronto,dpz2zwy,43.76331,-79.46572,-79.46686,43.76266,-79.46548,43.76404,0.0743,28
Toronto,dpz8bzt,43.76722,-79.41232,-79.4133,43.76678,-79.41193,43.76816,0.0695,28
Toronto,dpz2zxv,43.76889,-79.46713,-79.46823,43.76816,-79.46686,43.76953,0.0339,27
Toronto,dpz2vvq,43.75532,-79.5432,-79.54376,43.75443,-79.54239,43.7558,0.1097,27
Toronto,dpz2vgz,43.74704,-79.54129,-79.54239,43.74619,-79.54102,43.74756,0.2446,27
Toronto,dpz8fnf,43.76371,-79.36195,-79.36249,43.76266,-79.36111,43.76404,0.0652,27
Toronto,dpz866g,43.6538,-79.34921,-79.35013,43.6528,-79.34875,43.65417,0.0447,27
Toronto,dpz2q0g,43.64255,-79.53568,-79.5369,43.64182,-79.53552,43.64319,0.084,27
Toronto,dpz2w7f,43.70353,-79.52638,-79.52728,43.70224,-79.52591,43.70361,0.3101,27
Toronto,dpz2twj,43.7153,-79.55522,-79.55612,43.7146,-79.55475,43.71597,0.0512,27
Toronto,dpz8g0j,43.72597,-79.31367,-79.31442,43.72559,-79.31305,43.72696,0.012,27
Toronto,dpz2m2b,43.64305,-79.57341,-79.57397,43.64182,-79.5726,43.64319,0.0903,27
Toronto,dpz2xp8,43.72345,-79.49641,-79.49707,43.72284,-79.4957,43.72421,0.1537,27
Toronto,dpz9hpp,43.80837,-79.26667,-79.26773,43.80798,-79.26636,43.80936,0.0531,27
Toronto,dpz886b,43.69756,-79.44157,-79.44214,43.69675,-79.44077,43.69812,0.0888,26
Toronto,dpz86g7,43.65604,-79.3274,-79.32816,43.65555,-79.32678,43.65692,0.6142,26
Toronto,dpz9jgh,43.78634,-79.19366,-79.19495,43.78601,-79.19357,43.78738,0.2278,26
Toronto,dpz887h,43.69871,-79.43618,-79.43665,43.69812,-79.43527,43.69949,0.0276,26
Toronto,dpz8ep7,43.72191,-79.31582,-79.31717,43.72147,-79.3158,43.72284,0.0343,26
Toronto,dpz2x3x,43.69036,-79.47542,-79.47647,43.68988,-79.4751,43.69125,0.0219,26
Toronto,dpz2sb3,43.68423,-79.59432,-79.59457,43.68301,-79.5932,43.68439,0.1709,26
Toronto,dpz8cnu,43.76336,-79.40282,-79.40369,43.76266,-79.40231,43.76404,0.1248,26
Toronto,dpz8b2x,43.72875,-79.4319,-79.43253,43.72833,-79.43115,43.72971,0.073,26
Toronto,dpz3p1h,43.77572,-79.49131,-79.49158,43.77502,-79.4902,43.7764,0.1744,26
Toronto,dpz9717,43.82149,-79.31691,-79.31717,43.82034,-79.3158,43.82172,0.0715,25
Toronto,dpz8byq,43.76077,-79.4108,-79.41193,43.75992,-79.41055,43.76129,0.0243,25
Toronto,dpz95dq,43.7828,-79.29038,-79.29108,43.78189,-79.2897,43.78326,0.0933,25
Toronto,dpz2rm8,43.66854,-79.48564,-79.48608,43.66791,-79.48471,43.66928,0.0559,25
Toronto,dpz8cr1,43.76491,-79.39573,-79.39682,43.76404,-79.39545,43.76541,0.0887,25
Toronto,dpz8b3w,43.73436,-79.4332,-79.4339,43.73383,-79.43253,43.7352,0.0867,25
Toronto,dpz2vux,43.75113,-79.54212,-79.54239,43.75031,-79.54102,43.75168,0.0615,25
Toronto,dpz2svp,43.70946,-79.58557,-79.58633,43.70911,-79.58496,43.71048,0.1675,25
Toronto,dpz9hvc,43.80181,-79.24176,-79.24301,43.80112,-79.24164,43.80249,0.0646,25
Toronto,dpz2qsh,43.65986,-79.51247,-79.51355,43.65967,-79.51218,43.66104,0.1302,24
Toronto,dpz9kfm,43.82647,-79.23697,-79.23752,43.82584,-79.23615,43.82721,0.2598,24
Toronto,dpz2q04,43.63856,-79.5377,-79.53827,43.6377,-79.5369,43.63907,0.0269,24
Toronto,dpz2mz2,43.67788,-79.5511,-79.552,43.67752,-79.55063,43.67889,0.203,24
Toronto,dpz9h1c,43.7801,-79.27586,-79.27597,43.77914,-79.2746,43.78052,0.1038,24
Toronto,dpz82q2,43.67299,-79.44099,-79.44214,43.67203,-79.44077,43.6734,0.0206,24
Toronto,dpz2we6,43.70021,-79.51583,-79.5163,43.69949,-79.51492,43.70087,0.0942,24
Toronto,dpz2q0k,43.63987,-79.53456,-79.53552,43.63907,-79.53415,43.64044,0.0525,24
Toronto,dpz8c8h,43.72608,-79.38078,-79.38171,43.72559,-79.38034,43.72696,0.1499,23
Toronto,dpz8g9w,43.73476,-79.29044,-79.29108,43.73383,-79.2897,43.7352,0.0687,23
Toronto,dpz2vuy,43.75233,-79.54257,-79.54376,43.75168,-79.54239,43.75305,0.0449,23
Toronto,dpz8v3c,43.73601,-79.22025,-79.22104,43.7352,-79.21967,43.73657,0.0961,23
Toronto,dpz8yjv,43.7581,-79.18193,-79.18259,43.75717,-79.18121,43.75854,0.4241,23
Toronto,dpz9hu3,43.79309,-79.24274,-79.24301,43.79288,-79.24164,43.79425,0.1038,23
Toronto,dpz8c53,43.7443,-79.40679,-79.40781,43.74344,-79.40643,43.74481,0.0195,23
Toronto,dpz9h5q,43.78795,-79.26853,-79.2691,43.78738,-79.26773,43.78876,0.0616,23
Toronto,dpz2wht,43.70752,-79.53339,-79.53415,43.70636,-79.53278,43.70773,0.0454,23
